"Planet_idx":"Planet_name":"Star_code":"mass (earth)":"density (earth)":"radius":"TYPE_TERRAIN":"Climate Type"
1:"Kirei Dionysios":5269:8,97:0,996:missing:"jungle; volcano":"artic; hot; humid; subartic"
686:"Thunderpeak Omega":346:4,36:1,234:1,52:"plateau; glacier; cave; verdant; island; canyons; jungle":"frigid; tropical; humid; artic; artificial temperate; temperate"
687:"Thunderpeak Sigma":346:1,87:1,14:1,18:"rainforest":"artificial temperate; frozen; arid; tropical; subartic; hot; rocky"
688:"Stardrake Tau":4460:2,39:1,224:1,25:"cityscape; rock arche":"humid; frigid; superheated; arid; windy; artic"
689:"Stardrake Sigma":4460:1,75:0,751:1,33:"rocky island":"arid; rocky; frozen"
690:"Stardrake Gamma":4460:missing:1,231:1,61:"field; rock arche":"rocky; superheated; hot; artificial temperate; temperate; arid"
691:"Chaophraya Demetrian":2693:1,13:1,095:1,01:"ocean; valley":"temperate"
692:"Asahi San":2112:0,73:1,079:0,88:"sea; volcano; jungle; desert":"rocky; tropical; superheated"
693:"Asahi Jiu":2112:1:0,973:1,01:"field; volcano; forest; hill; lava river; ocean; lakes; verdant; rainforest":"frozen; frigid; superheated; artic; artificial temperate; arid"
694:"Asahi Yi":2112:2,57:0,818:1,46:"ice canyon; tundra; ocean":"windy; subartic; artificial temperate"
695:"Solaris Pi":464:2,28:1,185:1,24:"savanna; river; ice canyon; glacier":"tropical; frozen; artic; arid; windy"
696:"Solaris Psi":464:2,66:1,086:1,35:"cityscape; savanna; toxic cloudsea; mountain":"frigid; humid; rocky; artic"
697:"Solaris Chi":464:1,03:1,421:0,9:"lakes; island; forest; reef; plain; mountain; rock arche":"windy; artic; temperate; tropical; hot; artificial temperate"
698:"Solaris Omega":464:6,18:1,226:1,71:"jungle; swamp; rock arche":"artificial temperate; arid; humid; artic"
699:"Solaris Theta":464:6,8:1,197:1,78:"cliff":"tropical; rocky; frigid; frozen"
700:"Astral Echo Gamma":170:0,84:1,235:0,88:"canyons; swamp; urban; glacier; lakes; savanna":"rocky; artificial temperate; artic; humid; arid"
701:"Astral Echo Kappa":2356:1,32:1,142:1,05:"hill; island":"frozen; humid; tropical"
702:"Taiyi Wu":1827:1,03:1,075:0,99:"toxic cloudsea":"frozen"
703:"Phantara Epsilon":5257:0,85:0,73:1,05:"hill; grassland; ice canyon; rocky desert; ocean":"superheated; tropical; frozen; humid"
704:"Blizzardrider Octal":8241:6,12:0,745:2,02:"bog; acid pool; rock arche":"temperate; humid; arid; frigid"
705:"Kaus Media VI":5170:7,92:0,806:2,14:"field; vine; glacier; rocky desert; ocean; hill; ice cave; tundra":"rocky; frozen; tropical; arid; artificial temperate; subartic"
706:"Kaus Media VII":5170:2,12:1,553:1,11:"hill; acid pool; vine; forest":"windy; subartic; frigid; humid"
707:"Kaus Media X":5170:2,61:1,249:1,28:"reef; toxic cloudsea; glacier":"artificial temperate; frigid; frozen"
708:"Kaus Media XII":5170:0,7:0,895:0,92:"plain; city; jungle":"humid; frigid"
709:"Rigel Jiu":7138:1,87:1,455:1,09:"desert":"rocky; windy"
710:"Rigel Er":7138:missing:0,979:1,29:"river; sea":"temperate"
711:"Igniflux Herculean":5034:1,2:0,984:1,07:"acid pool":"temperate; hot; arid; superheated; artic; artificial temperate"
712:"Fuji Nebula XIII":1987:1,61:0,665:1,34:"hill; cityscape":"artic; windy; frozen"
713:"Ephemeral Abyss XIII":9854:3,49:1,024:1,5:"vine; acid pool; urban; valley; cave":"frozen; rocky; artic; subartic"
714:"Grimclaw Si":7659:1,07:0,957:1,04:"reef; cliff; rainforest; bog; rocky canyon":"superheated; arid; temperate; frozen; artificial temperate; hot; tropical"
715:"Grimclaw Wu":7659:7,12:1,049:1,89:"canyons; cliff; scrubland; rocky canyon; acid pool":"frigid; arid; superheated"
716:"Grimclaw Liu":7659:2,83:0,818:1,51:"rainforest; cliff; plateau":"humid; frigid"
717:"Grimclaw Er":7659:5,08:0,767:1,88:"rocky island":"superheated; subartic; windy; rocky; humid; artic"
718:"Rana Si":7396:1,31:1,144:1,05:"cityscape; sea; valley":"artificial temperate; superheated; humid"
719:"Rana Yi":7396:3,4:0,317:2,21:"bog; plateau":"arid; artificial temperate; subartic; humid; frozen; artic"
720:"Rana San":7396:3,65:1,087:1,5:"cliff":"arid"
721:"Cosmic Whispers Qi":6422:9,47:0,711:2,37:"plateau; forest; jungle; cityscape; rocky island; city; rocky canyon; desert":"rocky; hot; artificial temperate; temperate; frozen; artic"
722:"Cosmic Whispers Liu":6422:6,19:1,188:1,73:"cave":"artificial temperate; superheated; humid"
723:"Menkent Herculean":7628:2,26:0,989:1,32:"volcano; urban":"rocky; arid; superheated"
724:"Stellaria Crypt Yi":6539:0,81:1,195:0,88:"ice cave; lakes; grassy hill; toxic cloudsea; bog; glacier":"artic; temperate; frozen; frigid; arid"
725:"Stellaria Crypt Qi":6539:4,66:1,325:1,52:"mountain":"tropical; subartic; windy; frigid"
726:"Ukiyo's Resonance XX":2345:3,36:1,019:1,49:"ocean; city":"windy; frozen; humid; artificial temperate"
727:"Ukiyo's Resonance XI":2345:1,29:1,064:1,07:"island; mountain; tundra; ice cave":"rocky; frigid; arid"
728:"Ukiyo's Resonance IV":2345:4,2:1,109:1,56:"lakes; city":"tropical; artificial temperate"
729:"Ukiyo's Resonance X":2345:4,03:0,581:1,91:"cityscape":"frozen; artificial temperate; tropical; temperate"
730:"Ukiyo's Resonance XIV":2345:2,85:1,137:1,36:"city; mountain; volcano":"tropical; artic; hot"
731:"Propus Poseidian":3542:3,75:0,645:1,8:"plain; cityscape; sea":"hot; subartic; temperate; windy"
732:"Stellar Whisper Atlasios":4541:4,62:0,86:1,75:"cliff; grassy hill":"artificial temperate; windy; tropical; frigid"
733:"Sakura's Labyrinth Sirenios":6389:7,11:1,038:1,9:"ash; cave; grassy hill; plain; sea; ice canyon; fungus forest; jungle; jungle":"hot; superheated; temperate; frozen; artificial temperate; frigid"
734:"Koeia XVIII":2512:1,05:0,983:1,02:"tundra; cliff; rocky canyon; sea; grassland":"frozen; frigid; temperate; subartic"
735:"Koeia XI":2512:7,37:1,676:1,64:"hill; desert":"arid; windy; frozen; subartic; artic"
736:"Stellae Abyss Er":2317:0,97:1,313:0,9:"tundra":"frozen; windy"
737:"Menkalinan Gaian":5991:4,04:0,908:1,64:"field; lava river; cave; scrubland":"tropical; humid; windy; hot; arid"
738:"Biham XX":9516:1,76:0,948:1,23:"grassland; river; mountain; swamp; lakes; fungus forest":"superheated; arid; frozen; humid; subartic; frigid"
739:"Mirzam Sigma":2538:2,98:1,401:1,29:"tundra":"artic; subartic; superheated"
740:"Mirzam Zeta":2538:3,37:1,232:1,4:"plain; rocky canyon; valley; ocean; swamp; rock arche; verdant; cliff; savanna":"tropical; temperate; rocky; frigid; humid; frozen; subartic"
741:"Mirzam Rho":2538:1,95:0,978:1,26:"savanna":"rocky; subartic; superheated; windy; artic"
742:"Mirzam Eta":2538:2,32:0,55:1,62:"city; rocky desert; desert":"rocky; frozen; hot; windy"
743:"Ran Titanos":5032:0,46:0,935:0,79:"desert":"rocky; windy"
744:"Ran Faunios":5032:1,82:1,152:1,16:"ice canyon; acid pool; sea; jungle; cliff":"subartic; hot; frigid; humid"
745:"Ran Olympus":5032:1,31:1,275:1,01:"canyons":"artificial temperate; temperate; windy; hot"
746:"Dalim Si":5809:2,48:0,696:1,53:"hill":"windy; subartic"
747:"Dalim Jiu":5809:0,71:1,045:0,88:"reef; grassy hill":"subartic; arid; artificial temperate; windy; frozen; artic; frigid"
748:"Dalim Shi":5809:6,4:0,617:2,18:"savanna; ice canyon":"tropical; frozen; subartic; artificial temperate; artic"
749:"Dalim San":5809:9,05:0,827:2,22:"verdant; cliff":"subartic; frigid"
750:"Ra's Echo Orphean":6231:2,04:1,296:1,16:"field; hill; mountain":"hot; frozen"
751:"Quasarion XVII":4572:1,22:0,984:1,07:"hill; river":"frigid; rocky"
752:"Quasarion XXIII":4572:6,7:1,004:1,88:"rocky canyon; mountain; city":"frigid; subartic; temperate"
753:"Quasarion XX":4572:0,36:0,784:0,77:"swamp; rainforest; grassland; mountain; cliff; rock arche":"tropical; artificial temperate; humid; rocky; windy; temperate"
754:"Samurai's Veil Athenian":4867:7,37:1,065:1,91:"jungle; city":"superheated"
755:"Samurai's Veil Titanos":4867:1,5:0,996:1,15:"rainforest; sea; cityscape":"rocky; artificial temperate; tropical"
756:"Samurai's Veil Olympios":4867:missing:1,268:0,77:"ocean; bog; rocky island":"tropical; hot; artificial temperate; artic"
757:"Polis Secant":3718:0,48:1,397:0,7:"canyons; sinkholes":"windy; frigid; humid; hot"
758:"Polis Sextant":3718:1,36:0,869:1,16:"sea; barren":"arid; frozen; subartic; superheated; hot"
759:"Isis' Labyrinth Echoian":8350:1,19:0,845:1,12:"rocky canyon; savanna; jungle":"temperate; frozen; tropical"
760:"Tabit Hermian":2878:0,47:0,941:0,79:"ocean":"superheated; hot"
761:"Tabit Aetherios":2878:2,72:1,174:1,32:"ocean; rock arche; toxic cloudsea; rocky canyon":"rocky; frigid; tropical; humid; artic; windy"
762:"Tabit Selenean":2878:5,24:0,759:1,9:"mountain; plateau; sinkholes; sea; toxic cloudsea; desert; forest; cityscape; grassland":"tropical; humid; artic; superheated; subartic; artificial temperate"
763:"Tabit Olympus":2878:9,06:0,831:2,22:"urban; ice cave; desert; rocky desert; lakes; lava river":"windy; arid; artic; superheated; temperate"
764:"Tabit Oranos":2878:1,91:0,98:1,25:"lakes; rocky desert; volcano":"subartic; superheated; frozen"
765:"Lusitânia San":9002:2,67:0,876:1,45:"ash; forest; lakes; cave":"superheated; temperate; hot; artificial temperate; arid"
766:"Lusitânia Ba":9002:2,81:0,609:1,66:"urban":"frozen; arid; humid; subartic; tropical; windy; rocky"
767:"Eltanin San":5632:2,84:0,692:1,6:"glacier; swamp; lava river; cityscape":"superheated; subartic; frozen; humid"
768:"Eltanin Qi":5632:2,75:0,807:1,51:"cave":"artificial temperate; subartic"
769:"Eltanin Jiu":5632:6,96:0,863:missing:"grassy hill; ice canyon":"superheated; windy; hot; subartic"
770:"Infinite Whispers Prime":1255:2,05:1,119:1,22:"city":"windy; hot; temperate; artic"
771:"Infinite Whispers Undecimal":1255:7,51:1,277:1,81:"rainforest; desert; bog; rock arche":"frigid; rocky; tropical"
772:"Infinite Whispers Sextant":1255:1,22:0,802:1,15:"sea; ice canyon; fungus forest; cityscape; sinkholes":"subartic; frigid; rocky; temperate; superheated; frozen; hot"
773:"Scarabian Veil Hermesios":2034:2,39:1,03:1,32:"ice canyon; forest; bog":"hot; artificial temperate; artic; tropical"
774:"Uruk Theta":8574:4,12:0,978:1,62:"grassy hill":"hot; artic; frozen"
775:"Atria Hermian":9833:4,39:1,287:1,51:"city":"frigid; frozen; windy; superheated; arid; tropical"
776:"Sadalsuud Herculean":3586:3,31:0,807:1,6:"urban":"humid; hot; artic; artificial temperate"
777:"Titanium Enigma Mu":3001:1,07:1,476:0,9:"island":"subartic; humid; artic; superheated"
778:"Phantasmal Echo VII":7738:2,1:0,845:1,35:"rocky canyon; volcano; toxic cloudsea":"windy; arid; subartic; artificial temperate; artic"
779:"Phantasmal Echo IX":7738:4,39:1,182:1,55:"city; rocky desert; swamp; ice canyon":"subartic; frigid; artificial temperate; humid"
780:"Phantasmal Echo VIII":7738:1,99:1,081:1,23:"canyons; lakes; ocean; mountain; ice canyon":"windy; frigid; hot; temperate; artificial temperate"
781:"Phantasmal Echo XIII":7738:2,36:1,038:1,32:"grassy hill; cliff":"humid"
782:"Aozora Nebula Asclepian":1335:0,42:1,126:0,72:"lava river; canyons; grassy hill; hill; lakes; forest":"temperate; artificial temperate; hot; artic; frigid; subartic"
783:"Cervantes Typhonian":8865:7,05:1,233:1,79:"verdant; cityscape":"frigid; frozen"
784:"Cervantes Aphroditos":8865:8,83:0,967:2,09:"plateau; plain":"artificial temperate; rocky; subartic; hot; frigid"
785:"Cervantes Gaios":8865:1,01:0,968:1,01:"urban; rocky canyon":"superheated; artificial temperate; arid; frigid; frozen"
786:"Zenithariana Ba":2823:1,82:0,671:1,39:"lava river; grassy hill; plateau; acid pool; savanna":"tropical; hot; rocky; windy; frozen; temperate"
787:"Zenithariana Er":2823:4,59:0,866:1,74:"acid pool; hill; mountain; plateau; toxic cloudsea":"windy; artic; tropical; humid; frigid"
788:"Zenithariana Shi":2823:1,92:1,186:1,17:"glacier; ice cave; swamp; mountain; canyons; hill; grassland; reef":"temperate; frigid; humid; artic; subartic"
789:"Zenithariana Qi":2823:1,17:0,995:1,06:"rainforest; plain":"subartic; hot; windy; humid; frozen"
790:"Ebon Crypt Dionysios":2919:6,48:1,219:1,75:"fungus forest; desert":"frigid; windy; humid; arid"
791:"Ebon Crypt Herculean":2919:1,99:0,941:1,28:"river; urban":"windy; artificial temperate; frozen; subartic"
792:"Galaxy Seraph Shi":3901:1,35:0,791:1,2:"plain; sea; plateau; vine; canyons; tundra":"artic; subartic; hot; frozen"
793:"Galaxy Seraph Wu":3901:6,48:0,674:2,13:"savanna; hill; vine; rocky canyon; river; sea; rock arche":"tropical; temperate; superheated; frozen; artic; arid"
794:"Galaxy Seraph Liu":3901:1,07:1,345:0,93:"rocky desert; forest; hill":"superheated; humid"
795:"Phantasma Helios":7235:7,2:0,978:1,95:"field; urban; sea; rock arche":"frozen; artificial temperate; superheated; rocky"
796:"Inazuma Shadows XVIII":6598:0,65:1,223:0,81:"jungle; volcano; bog":"rocky; subartic; arid; artic; hot"
797:"Lunariara Septimal":1814:1,39:0,905:1,15:"hill; acid pool":"hot; windy; subartic; frigid"
798:"Lunariara Sextant":1814:1,54:0,77:1,26:"reef; sea; plain; scrubland; glacier; bog":"arid; hot; artic; frozen"
799:"Gienah Theta":8380:7,16:1,178:1,83:"rocky desert; jungle; grassy hill; forest; ice canyon; cityscape":"tropical; artic; artificial temperate; frigid"
800:"Nebula Nexus Selenean":532:1,69:0,917:1,23:"rainforest; savanna; toxic cloudsea; cave; lava river; ice canyon; city; cliff; grassland; acid pool; ice cave":"temperate; artificial temperate; frigid; superheated; frozen; subartic; artic"
801:"Nebula Nova Wu":7397:7,33:1,041:1,92:"ocean":"arid; hot; superheated; humid; frigid"
802:"Nebula Nova Yi":7397:3,67:0,74:1,71:"cityscape; swamp; grassy hill; valley; cliff; glacier":"frigid; hot; rocky; tropical; artic"
803:"Nebula Nova Qi":7397:2,62:0,779:1,5:"jungle":"hot; frigid"
804:"Nebula Nova Jiu":7397:2,06:1,261:1,18:"field; rock arche":"humid; rocky; frigid"
805:"Mintaka Liu":2923:1,99:0,759:1,38:"acid pool; ice canyon":"rocky; frozen"
806:"Mintaka Qi":2923:1,03:0,955:1,03:"river; valley; cityscape":"subartic; hot; humid; artic"
807:"Mintaka Yi":2923:2,26:1,299:1,2:"acid pool; river; plain; jungle":"frozen; humid; arid; frigid; tropical; temperate"
808:"Mintaka Er":2923:3,38:1,32:1,37:"rock arche; mountain; ice canyon; barren; rocky desert":"frigid; artificial temperate; arid"
809:"Mintaka San":2923:3,19:1,265:1,36:"jungle; rocky island; rock arche; plain":"frozen; humid; tropical; arid"
810:"Lunar Quasar Mu":5640:missing:1,226:0,92:"desert; plain":"rocky"
811:"Tenshi Echoes Omicron":7367:2,98:1,054:1,41:"sea; plain; ice cave; cityscape":"frozen; subartic; frigid; windy"
812:"Frostgale Vigesimal":1173:9,29:1,294:1,93:"urban":"temperate; arid"
813:"Bonsai Gaze Delta":4550:1,78:1,014:1,21:"verdant":"hot; temperate; humid; arid"
814:"Mazaalai Quartal":3622:0,71:0,931:0,91:"rocky island; rocky canyon":"artificial temperate; frozen; tropical; artic"
815:"Mazaalai Secant":3622:7,77:0,986:1,99:"fungus forest":"windy; humid; artic; subartic"
816:"Nebulithium Nonal":7200:2,07:0,713:1,43:"glacier; valley":"rocky; artificial temperate; artic; subartic; frozen"
817:"Nebulithium Tertial":7200:1,07:1,373:0,92:"glacier":"temperate; tropical; humid; frozen; superheated"
818:"Nebulithium Prime":7200:6,83:1,615:1,62:"glacier; grassy hill; rocky desert; mountain; urban; volcano; plateau":"superheated; frigid; humid; temperate; rocky; tropical"
819:"Okab Hecatean":6364:1:0,961:1,01:"valley; bog; rainforest; rocky canyon; cave":"subartic; temperate; superheated; hot"
820:"Electra Wu":7864:2,01:1,003:1,26:"rocky canyon; cave; valley":"artic; tropical"
821:"Electra Si":7864:1,13:0,766:1,14:"rock arche":"tropical; frigid; windy"
822:"Shogun's Loom Alpha":2526:8,87:0,78:2,25:"mountain":"artic; subartic; hot"
823:"Cosmoth Septimal":8339:4,37:1,092:1,59:"grassy hill; forest":"windy; artificial temperate; frigid; temperate"
824:"Cosmoth Quartal":8339:6,73:0,904:1,95:"scrubland; sea; verdant; forest; canyons; jungle":"arid; rocky; hot; subartic; artic"
825:"Cosmoth Duodecimal":8339:6,16:1,086:1,78:"scrubland; cave":"arid; artificial temperate"
826:"Galaxix XV":7207:6,39:1,319:1,69:"volcano":"tropical; artificial temperate; arid; rocky"
827:"Horus' Ascendance Psi":9489:7,99:1,038:1,97:"field; fungus forest; glacier; jungle; cityscape; rocky island":"arid; humid; superheated; hot; frozen; frigid; subartic"
828:"Proxima Centauri Lambda":724:9,31:1,242:1,96:"vine; field; verdant; glacier; city; ice cave; jungle; rocky canyon":"rocky; tropical; hot; subartic; frigid"
829:"Proxima Centauri Pi":724:8:1,326:1,82:"field; hill":"superheated; subartic; tropical; windy"
830:"Almach Dionian":2613:1,57:0,922:1,19:"grassy hill; plateau; sea; tundra; forest":"frozen; arid; artificial temperate; artic"
831:"Sansuna Aetherios":6127:0,85:1,076:0,92:"field; hill":"superheated; temperate; hot"
832:"Cosmaronix Ba":3249:missing:1,361:1,05:"field; cityscape":"superheated; rocky; tropical; temperate"
833:"Cosmaronix Shi":3249:3,76:1,302:1,42:"island; scrubland":"tropical; arid; humid; subartic"
834:"Cosmaronix Jiu":3249:5,24:1,441:1,54:"mountain; vine; rock arche":"artificial temperate; humid"
835:"Cosmaronix San":3249:3,57:1,175:1,45:"rocky island":"subartic; tropical; windy; artificial temperate"
836:"Cosmaronix Yi":3249:9,68:1,115:2,06:"plateau; rocky island; cliff; grassy hill; savanna":"temperate; arid; frigid; subartic; artificial temperate"
837:"Alshain Asclepian":6916:5,25:1,191:missing:"jungle; plateau; vine":"hot; temperate"
838:"Alshain Apollox":6916:9,2:1,364:1,89:"sea; jungle":"superheated; artic; arid; humid; frigid; frozen; tropical"
839:"Aladfar Upsilon":6430:3,97:1,526:1,38:"jungle; forest; cliff; valley":"superheated; rocky; artic; arid; subartic; artificial temperate; windy"
840:"Stormweaver Quartal":6318:1,03:0,941:missing:"plateau; verdant":"rocky"
841:"Stormweaver Octal":4240:1,74:1,082:missing:"hill; verdant; sinkholes":"arid; frozen; hot; humid; artic; windy"
842:"Aquilan Cipher Septimal":5681:0,82:0,838:0,99:"swamp":"superheated; subartic; humid; temperate"
843:"Aquilan Cipher Quartal":5681:1,34:1,363:0,99:"verdant; savanna":"superheated; artic; hot; frozen"
844:"Bibhā VI":5503:2,05:1,193:1,2:"mountain":"windy; arid"
845:"Nikawiy Undecimal":3379:6,04:0,705:2,05:"jungle":"humid; frozen; arid"
846:"Nikawiy Nonal":3379:5,81:1,028:1,78:"river; island; verdant; toxic cloudsea; savanna; volcano; acid pool; desert":"arid; windy; superheated; artic; frozen; frigid"
847:"Nikawiy Quartal":3379:8,16:0,905:2,08:"cliff; cave; plain; plateau; lakes":"superheated; subartic; windy; frozen"
848:"Nikawiy Secant":3379:6,52:1,058:1,83:"city; ocean; acid pool; island; lakes; canyons; rocky canyon":"rocky; artificial temperate; frigid; superheated; temperate; tropical"
849:"Stellarnova Nyxios":7315:6,17:0,972:1,85:"verdant; desert":"humid; arid; windy"
850:"Sheliak Omega":8072:6,35:0,644:2,14:"plain":"tropical; artificial temperate"
851:"Sheliak Beta":8072:7,53:0,928:2,01:"vine; city":"artificial temperate; rocky"
852:"Sheliak Eta":8072:1,48:1,344:1,03:"ice cave":"frigid; artic; subartic"
853:"Geisha's Mirage Psi":3972:2,14:1,523:1,12:"city; glacier":"frigid; artic; arid"
854:"Geisha's Mirage Epsilon":3972:2,57:0,939:1,4:"cliff; rocky desert":"artic; temperate"
855:"Aldhibah Er":6506:2,53:1,39:1,22:"ice cave; valley; urban; cityscape":"frozen; hot; artic"
856:"Aldhibah San":6506:1,69:0,974:1,2:"river; barren; cave; desert; jungle":"superheated; artic; humid; arid; rocky; frigid"
857:"Koi Horizon Tau":6323:2,52:1,04:1,34:"valley; cliff; ice canyon; urban; tundra":"subartic; frozen; arid"
858:"Koi Horizon Omega":6323:1,1:1,029:1,02:"city; lakes; reef; jungle; rock arche; rocky canyon":"artificial temperate; tropical; humid; superheated; hot; arid"
859:"Koi Horizon Nu":6323:2,75:0,533:1,73:"savanna; scrubland":"rocky; arid"
860:"Kawa Nemesisian":3655:0,77:1,396:missing:"glacier; toxic cloudsea; rocky desert; river":"frozen; arid; subartic"
861:"Meissa Nonal":4668:3,08:1,052:1,43:"tundra; rainforest; rocky island; river; acid pool":"humid; frozen; superheated; rocky"
862:"Meissa Undecimal":4668:3,68:1,048:1,52:"swamp; cliff; ocean":"tropical; windy; superheated; frigid; subartic"
863:"Meissa Septimal":4668:2,77:1,036:1,39:"ocean; hill; vine; lakes; rock arche; cave; glacier; grassland":"frozen; artic; artificial temperate; humid; subartic"
864:"Meissa Quintal":4668:2,29:1,464:1,16:"grassy hill; ice cave; field; swamp":"rocky; humid; subartic; frigid"
865:"Meissa Duodecimal":4668:8,17:0,594:2,4:"bog; field":"hot"
866:"Tejat Octal":4717:5,15:0,98:1,74:"verdant; cityscape":"frozen; tropical; artic"
867:"Tejat Vigesimal":4717:1,25:1,335:0,98:"tundra; city; ice cave":"artic; humid; frozen; rocky; artificial temperate"
868:"Tejat Septimal":4717:0,9:0,915:0,99:"valley; verdant; canyons":"frigid; tropical; arid; rocky"
869:"Tejat Sextant":4717:7,56:1,113:1,89:"vine":"superheated; hot"
870:"Bélénos Quintal":9909:2,52:1,068:1,33:"plateau; cave; cityscape; cliff; reef; hill":"artificial temperate; arid; artic; subartic; frigid; frozen"
871:"Bélénos Octal":9909:0,75:1,032:0,9:"jungle; mountain; acid pool; rainforest; river":"superheated; artic; arid; artificial temperate; tropical"
872:"Bélénos Secant":9909:missing:1,488:0,94:"grassy hill":"frozen; humid; subartic; artificial temperate"
873:"Yed Posterior Demetrian":8517:2,11:0,876:1,34:"rocky island":"windy; subartic; frozen; humid; hot; tropical; rocky"
874:"Tegmine Yi":3130:1,62:0,915:1,21:"island; rock arche; reef; rainforest":"frozen; windy; tropical; arid; subartic; artificial temperate"
875:"Tegmine Wu":3130:0,79:0,773:1,01:"cave":"rocky; superheated; frigid; arid"
876:"Celestara Yi":6622:3,62:0,543:1,88:"bog; desert; fungus forest":"frigid; arid; hot; tropical"
877:"Celestara Er":6622:5,5:0,731:1,96:"cave; verdant; jungle; vine":"hot; rocky; frozen; superheated; tropical"
878:"Celestara Si":6622:1,79:0,496:1,53:"sea; mountain; grassy hill":"frigid; humid; arid"
879:"Celestara Ba":6622:4,94:1,206:1,6:"desert; savanna":"artificial temperate; temperate; arid"
880:"Celestara Shi":6622:4,91:0,567:2,05:"cliff; tundra; scrubland; glacier; rock arche; rocky desert; barren":"subartic; frigid; frozen; artificial temperate; arid"
881:"Dabih Echoian":4279:2,26:1,305:missing:"river; verdant; grassland":"temperate; frigid; hot"
882:"Dabih Harpian":4279:8,1:1,571:1,73:"grassy hill; desert; mountain":"arid; rocky; temperate"
883:"Peacock Er":9314:3,45:0,72:1,69:"rocky canyon; valley; city; ocean":"tropical; superheated; rocky; subartic"
884:"Helvetios Nymphios":6155:0,42:0,966:0,76:"river; rocky desert; cityscape; island":"artificial temperate; artic; arid; humid"
885:"Alula Australis Si":4198:1,89:1,29:1,14:"volcano; jungle":"hot; subartic"
886:"Alula Australis Er":4198:1,8:1,062:1,19:"plateau":"subartic; temperate; artificial temperate"
887:"Alula Australis Shi":4198:1,1:0,968:1,04:"savanna; forest; ocean; plateau; rocky island; cliff; desert":"artificial temperate; subartic; windy; superheated; tropical; artic; humid"
888:"Alula Australis Qi":4198:0,7:1,03:0,88:"jungle; lakes; acid pool; rock arche; field; plateau; rainforest; island":"rocky; temperate; humid; tropical; superheated"
889:"Alula Australis Ba":4198:1,98:1,312:1,15:"desert; plain":"temperate; subartic; arid; frozen"
890:"Alrakis Er":1743:2,39:1,038:1,32:"ice canyon; rocky canyon; mountain":"tropical; frigid; artificial temperate; rocky; hot; artic; frozen"
891:"Alrakis Jiu":348:6,42:1,303:1,7:"urban; verdant; plateau; scrubland; barren; ice canyon":"arid; frigid; subartic; rocky"
892:"Alkarab Duodecimal":5484:2,03:0,779:1,38:"urban":"frigid"
893:"Tania Borealis Iota":355:2,44:0,658:1,55:"bog; valley; acid pool; desert; swamp":"rocky; humid; arid"
894:"Tania Borealis Delta":355:1,74:1,248:1,12:"rocky canyon; savanna; ocean; desert":"hot; humid; rocky; arid"
895:"Tania Borealis Sigma":355:5,53:1,035:1,75:"plain; vine; jungle":"arid; humid; subartic; frozen; frigid"
896:"Tania Borealis Alpha":355:5,38:1,079:1,71:"cliff":"subartic; temperate"
897:"Tania Borealis Tau":355:1,9:0,866:1,3:"rainforest; glacier; sea; scrubland; verdant; valley":"arid; artic; temperate; subartic; superheated"
898:"Baten Kaitos XVI":7766:6,4:1,099:1,8:"tundra; plateau; plain; desert":"artificial temperate; frozen; rocky; temperate; windy"
899:"Baten Kaitos XIX":7766:8,88:0,629:2,42:"barren":"superheated; arid"
900:"Baten Kaitos XX":7766:7,97:1,034:missing:"urban; plateau; cave; field; verdant":"subartic; frozen; artificial temperate"
901:"Unurgunite V":7515:2,69:1,026:1,38:"desert; city":"tropical; windy; frozen; rocky; superheated; artic"
902:"Ankh Seraph Shi":6249:9,15:1,126:2,01:"rainforest; rock arche; rocky desert; tundra":"humid; frigid; frozen; subartic; artificial temperate"
903:"Ankh Seraph Ba":6249:8,45:1,465:1,79:"barren; rocky canyon":"windy; arid; frigid"
904:"Nova Veil Echoian":6395:7,34:1,04:1,92:"island":"temperate"
905:"Macondo Si":9313:0,38:1,157:0,69:"jungle; rocky island; sinkholes; bog":"windy; hot; rocky; temperate"
906:"Macondo Er":9313:1,87:1,194:1,16:"volcano; rocky desert":"artic; superheated; frigid; temperate"
907:"Macondo Ba":9313:2,45:1,324:1,23:"swamp":"humid; tropical; arid; windy"
908:"Macondo Shi":9313:1,04:1,074:0,99:"plateau; island; desert; mountain; savanna; rocky desert":"temperate; subartic; arid; rocky"
909:"Macondo Jiu":9313:7,14:0,495:2,43:"rocky island; lakes; island; jungle; rocky desert; city; swamp; cave":"subartic; tropical; superheated; artificial temperate; windy; humid"
910:"Yugure Radiance Pi":1516:5,32:0,851:1,84:"valley; rainforest":"temperate; tropical"
911:"Yugure Radiance Eta":1516:4,38:0,979:1,65:"rocky canyon; hill; jungle":"superheated; rocky; windy; arid"
912:"Yugure Radiance Zeta":1516:1,41:0,583:1,34:"canyons; valley":"arid; hot; tropical"
913:"Yugure Radiance Psi":1516:5,23:0,948:1,77:"field; forest":"humid; frigid; artic"
914:"Aldhanab Quintal":7622:4,04:0,704:1,79:"verdant":"humid; arid"
915:"Vorpal Abyss Prime":826:5,15:0,885:1,8:"ocean; plateau":"frozen; tropical; artic; superheated; rocky; frigid"
916:"Matar Epsilon":3488:2,81:1,508:1,23:"mountain; vine; plain":"superheated; windy; temperate; frigid"
917:"Lurking Whispers XII":5396:4,46:1,035:1,63:"swamp; ice canyon; reef; valley; forest":"superheated; rocky; frigid; humid; frozen"
